27,12,193,7,2,292
6,21,193,9,4,434
24,12,191,7,3,1639
29,17,100,3,4,241
0,18,176,17,4,258
12,11,186,0,1,1570
22,4,162,13,2,78
22,3,181,9,1,386
1,1,163,10,6,1106
24,1,188,23,3,2305
14,25,167,17,1,1792
0,27,127,17,2,193
13,6,135,21,4,586
6,7,135,14,6,1852
8,26,154,16,0,513
14,17,193,22,3,352
18,10,171,7,1,1213
17,21,151,10,3,1119
0,18,125,8,1,1551
10,10,164,14,4,6786
4,12,154,15,5,319
7,28,124,16,5,108
11,7,154,19,4,1736
0,26,125,19,4,324
24,16,198,9,1,292
16,3,172,16,6,277
28,13,105,5,2,992
14,25,196,17,0,1918
27,22,199,11,5,553
17,24,168,16,3,483
0,17,143,17,2,917
24,2,169,15,2,1441
20,27,160,18,4,354
17,1,105,17,2,3265
28,7,163,8,3,654
12,5,114,14,1,543
25,6,167,16,2,115
26,26,119,14,6,100
16,7,162,6,0,693
6,24,132,14,2,375
23,26,155,19,3,1431
27,4,150,18,3,397
0,24,111,14,0,179
24,5,172,20,6,244
25,15,117,8,1,715
29,13,123,12,4,842
28,27,158,8,6,487
17,19,102,7,1,361
23,1,199,8,0,280
7,14,184,15,0,1433
26,0,146,11,5,154
13,19,198,6,2,473
19,18,119,17,4,959
14,11,185,17,3,891
14,1,172,9,1,388
17,2,137,18,0,543
8,16,175,9,0,376
24,1,142,16,0,382
2,23,141,20,4,761
11,15,119,15,4,185
7,1,140,16,2,531
14,24,181,13,4,288
27,6,131,9,4,1321
21,15,192,2,6,776
1,17,196,7,0,457
29,29,151,14,0,1406
17,5,100,18,0,613
21,17,134,7,0,1248
3,10,174,14,3,759
20,14,103,20,4,343
11,15,156,18,2,578
14,1,181,15,1,484
23,12,111,17,4,374
2,21,186,8,3,1889
6,21,147,15,6,1105
18,23,140,18,0,202
23,26,167,10,0,631
3,20,153,17,0,389
19,23,137,17,3,812
5,5,173,16,0,4160
5,5,163,2,3,260
11,18,141,18,0,276
1,20,127,17,1,735
17,26,140,17,1,540
16,15,141,13,5,634
2,20,102,5,2,176
4,9,133,8,4,203
6,0,108,17,0,1254
0,27,194,7,2,330
3,0,155,18,5,427
16,5,113,13,1,1385
3,21,131,9,3,270
3,24,187,17,6,616
6,24,130,7,1,240
2,8,149,7,4,1473
23,26,111,12,1,471
1,19,104,8,3,13334
17,2,196,15,1,696
8,21,168,15,2,284
24,24,125,10,3,805
16,12,117,15,2,1054
13,18,184,16,3,416
20,28,133,17,2,550
18,13,122,8,1,419
10,5,190,7,1,185
8,17,123,7,2,840
16,6,185,9,2,308
29,22,146,7,1,1184
26,7,148,22,2,1847
17,19,102,8,4,295
1,9,175,12,5,347
20,19,160,17,3,535
18,17,124,8,3,152
24,9,188,17,4,316
12,18,154,16,1,407
28,15,149,18,2,130
24,15,176,7,0,505
1,25,162,19,0,138
20,13,101,10,5,495
3,15,103,16,3,276
1,29,108,17,2,977
1,17,171,16,0,506
20,2,183,17,6,335
2,19,190,20,3,180
5,3,175,10,3,256
4,23,168,11,6,295
9,17,193,8,0,923
25,14,117,8,4,344
23,23,124,14,1,531
1,21,120,23,3,839
22,23,157,14,3,654
18,5,178,19,6,929
17,0,191,6,1,122
10,3,143,14,3,172
8,11,122,8,1,570
12,21,129,12,5,452
29,27,122,13,6,3014
9,23,182,11,0,236
14,16,185,16,3,398
1,26,188,17,0,258
26,8,169,17,4,147
2,13,143,8,4,153
24,17,142,17,1,993
21,27,142,12,5,1352
3,15,157,15,3,356
1,17,126,17,0,1020
5,5,174,9,0,407
6,21,162,13,4,433
18,14,119,19,0,1100
18,1,195,18,4,361
28,2,178,17,0,600
2,17,125,16,2,612
26,27,143,8,4,465
21,1,133,16,0,395
26,13,161,18,3,837
12,22,165,7,0,446
19,2,150,10,1,225
6,23,159,15,4,662
14,11,167,16,3,609
12,2,160,17,2,314
18,16,142,16,1,1251
1,21,140,21,3,690
17,13,163,7,4,354
24,18,129,8,3,418
0,23,164,16,5,260
29,8,138,17,2,442
17,8,134,15,3,763
28,26,130,19,3,1480
20,0,178,19,2,847
5,5,183,15,1,1338
25,20,164,17,5,459
26,9,124,16,1,193
15,12,177,16,1,782
27,15,160,7,0,793
27,4,160,17,3,618
28,1,108,20,4,826
3,6,112,20,0,313
27,3,117,19,6,926
1,14,187,13,2,314
17,1,153,18,2,1308
25,21,101,17,3,700
10,9,148,13,4,382
17,8,108,16,3,1245
17,6,142,15,4,1326
22,8,152,17,3,188
12,7,156,12,3,804
19,22,110,12,2,380
19,24,108,9,5,2236
9,18,142,0,5,504
19,14,148,22,2,395
0,22,195,22,0,261
11,13,106,16,2,610
15,29,164,13,6,2147
6,7,185,7,0,1191
8,14,159,9,4,692
13,24,168,16,4,508
13,22,127,14,2,422
1,15,164,17,2,282
26,21,163,13,6,236
20,17,154,7,3,1579
3,3,190,15,1,1130
23,13,153,13,5,867
14,16,190,15,5,293
3,25,130,9,3,195
19,27,112,18,0,10396
3,19,158,1,3,1396
27,19,136,20,1,550
7,29,148,10,2,579
20,1,106,23,5,395
11,14,133,7,1,170
7,21,184,17,4,897
22,1,181,17,1,620
16,21,161,17,1,411
20,7,121,8,1,641
13,6,155,14,4,437
21,20,185,16,2,419
17,14,174,9,2,669
17,18,140,16,2,2056
9,20,168,7,3,681
13,3,181,19,2,515
6,14,124,19,3,1276
20,21,186,11,2,897
12,16,192,12,5,358
10,20,158,15,1,270
6,20,121,10,6,254
8,1,199,9,2,1263
1,16,143,23,0,1146
28,28,110,15,5,517
16,5,143,9,2,1620
13,6,164,17,0,707
5,14,199,10,5,640
15,25,120,5,0,419
23,28,175,8,1,505
11,1,103,17,0,514
21,24,142,10,6,587
27,29,192,19,5,373
26,15,166,22,6,1252
13,16,172,19,3,723
9,9,104,21,2,240
14,2,136,8,3,198
25,25,130,22,3,815
10,29,174,19,3,306
11,13,136,17,3,294
21,0,187,19,1,868
13,17,135,12,0,499
8,0,122,12,2,587
3,6,104,17,3,461
7,28,186,17,1,779
1,1,132,8,3,957
20,8,165,17,1,233
14,24,198,15,4,301
12,12,120,23,5,1134
11,14,128,9,2,713
24,19,195,13,0,425
1,0,165,22,0,3823
5,1,151,17,4,1034
18,29,189,15,6,701
2,20,131,7,1,1104
8,11,185,16,2,533
7,4,182,17,1,655
14,5,146,10,5,5255
10,6,182,7,6,620
2,20,161,5,0,560
